group,d_sample,theta_pool,phi_pool,ratio,fbar,c,d_pool,d_clonal,theta_s,phi_s
boot_5,0.12173656917466898,0.5815643980594528,1.1369153603230597,1.9549259963585905,30000,0.3716124442344191,0.3275645542793455,1.5125242815786073e-05,1.512554785256473e-05,2.956932670614464e-05
boot_3,0.13387225169631412,0.561756357405418,1.1244354961501475,2.0016426718223066,30000,0.4167740895568209,0.3211856116995735,1.7850375450389857e-05,1.7850800308373317e-05,3.573092362341882e-05
boot_1,0.15950148072652007,0.5560079815241947,1.194896167207022,2.1490629755555513,30000,0.49950129304623947,0.31929819116149155,2.3219588518885168e-05,2.322030740686286e-05,4.9901902929107305e-05
boot_4,0.13611820106838315,0.562937131362317,1.1382625704987999,2.022006556476717,30000,0.4232583922009375,0.32157126067693415,1.8147288307082744e-05,1.814772741647147e-05,3.669482382125758e-05
boot_6,0.16048658862140988,0.5748988772029994,1.179073910937653,2.050924010626162,30000,0.49310138368847967,0.3254392960257491,2.3715678286412126e-05,2.3716428221321193e-05,4.864059208539956e-05
boot_0,0.16426756288189615,0.5637953643191662,1.0777544325284203,1.9116057008200236,30000,0.5103422010974766,0.32185113049055536,2.726091908442966e-05,2.726190999739303e-05,5.2114022566258916e-05
all,0.13220488294695218,0.5610276690912057,1.1322904439663208,2.018243495548961,30000,0.41188908892465365,0.3209472704035906,1.735071968676268e-05,1.7351121092680456e-05,3.501878728578471e-05
boot_2,0.13999490365520717,0.5666382304142696,1.1217747457332197,1.9797018371194073,30000,0.43368816456114717,0.32277558329518213,1.9341588998383273e-05,1.9342087807333594e-05,3.829156676590321e-05
boot_7,0.15119968951196278,0.5625991152252965,1.1093418406185822,1.9718158287084029,30000,0.4703145794717718,0.32146093313993157,2.2515110271680805e-05,2.2515786198892966e-05,4.439698362279135e-05
boot_8,0.12012609018094825,0.5324128543510324,1.0245077366503423,1.9242731055003044,30000,0.3857617550642382,0.31137370419243476,1.6318701911365926e-05,1.631905698580116e-05,3.140232246490404e-05
boot_9,0.13299673717842186,0.5627304787442131,1.0301015658784372,1.8305416265655405,30000,0.4136356464326775,0.3215038165807654,1.9268184355449854e-05,1.9268679385405432e-05,3.527211970392996e-05
boot_12,0.11890428792866672,0.5614042984823616,1.2251034010282054,2.1822123634251014,30000,0.3703105890701819,0.3210704924095797,1.3474502309629396e-05,1.3474744396928726e-05,2.9404753816970977e-05
boot_10,0.11678174691909245,0.5789199671756785,1.2054155828435087,2.0821800096553145,30000,0.35740620149114916,0.32672394584041986,1.3356026914615495e-05,1.3356264763457708e-05,2.781014749413531e-05
boot_11,0.1558822359177351,0.560914190998106,1.052145883617007,1.8757697710318042,30000,0.4857100928514814,0.3209101298447896,2.5174427227530252e-05,2.5175272258276117e-05,4.722301467956992e-05
boot_13,0.13768167254353034,0.5569020421324273,1.0948197264388075,1.9659107771389124,30000,0.4307690928816845,0.31959283720898624,1.924696532541638e-05,1.9247459265657833e-05,3.7838787602898955e-05
boot_14,0.14195659513700565,0.5841382430043074,1.2055841897853756,2.0638679357558956,30000,0.43226240454876613,0.3283795247984778,1.8445392939181275e-05,1.8445846593699296e-05,3.806979133260809e-05
boot_15,0.13206840519893304,0.5489773096180093,1.1715177903531708,2.134000385495603,30000,0.4166321105496211,0.3169670318064181,1.6733459199091902e-05,1.673383255229758e-05,3.571000511742191e-05
boot_16,0.13772814529355457,0.5677093159406559,1.193814632929567,2.1028625027079166,30000,0.426209449845214,0.32312284796404017,1.766154981042368e-05,1.766196572734027e-05,3.71406854521362e-05
boot_19,0.1400589367197551,0.5581472922917237,1.113631883317617,1.9952293932039027,30000,0.43764641697106693,0.32000254993108257,1.9502535669471254e-05,1.9503042814522126e-05,3.891304428044872e-05
boot_18,0.12254411566123304,0.5872207064293086,1.2193560743455747,2.0764868489738184,30000,0.3720498895734947,0.32935141349851943,1.4266480864898019e-05,1.4266752246695262e-05,2.9624723417830386e-05
boot_17,0.13032099413387066,0.5650824658907128,1.2335345047226272,2.1829282966305903,30000,0.4043555520408895,0.3222701696741006,1.554915691789311e-05,1.5549479292951136e-05,3.394339834645445e-05
boot_21,0.1337736462245075,0.5530900186173953,1.056395216418937,1.9099878516334379,30000,0.4201962630026299,0.3183337359940614,1.8971888994794712e-05,1.8972368917030795e-05,3.6236994148236664e-05
boot_20,0.11755387446044274,0.5706570895772153,1.1441519127571333,2.004972747477483,30000,0.362707984481451,0.3240756594279335,1.4193194986868385e-05,1.4193463587663369e-05,2.8457507685579034e-05
boot_22,0.12607402293627837,0.5499640889646166,1.1670865357759819,2.1221140783449766,30000,0.3973096582473104,0.3172957393399884,1.553231424393856e-05,1.553263592098144e-05,3.29620253617216e-05
boot_24,0.10752420174561085,0.5502255518845164,1.139564006417644,2.071085216807271,30000,0.33875824309956964,0.31738275202734967,1.2368061505795317e-05,1.2368265467752685e-05,2.5615731767810455e-05
boot_23,0.1257077512001752,0.5404122395367955,0.952500517763697,1.76254430984042,30000,0.40018874325890624,0.3140927892919598,1.892693178690284e-05,1.8927409437285935e-05,3.336039780370819e-05
boot_26,0.12302702349229185,0.5547216134392638,1.1007317929584899,1.984295845503428,30000,0.38578710351314527,0.3188735480381578,1.58267723565436e-05,1.5827106345889197e-05,3.140566136848888e-05
boot_25,0.146764481044561,0.5477347783216568,1.114584090389415,2.034897425729787,30000,0.46359806745368914,0.316552419341436,2.1236295751858802e-05,2.123689707589501e-05,4.32149071902272e-05
boot_27,0.11077800675259368,0.5316310891932607,1.0887065142765613,2.0478608877608173,30000,0.3560498971166588,0.3111061523530356,1.3499826922662835e-05,1.3500069920806002e-05,2.764626517285489e-05
boot_28,0.12006476738797395,0.5690783867003613,1.1958748828385604,2.1014238298040095,30000,0.3710401428988797,0.32356590353430137,1.4036354310955074e-05,1.4036617008194614e-05,2.9496881470852422e-05
boot_29,0.14158106097114995,0.5596195061154824,1.1661635255960996,2.0838507465382228,30000,0.4417368977587401,0.3204859332246395,1.8985766998429855e-05,1.898624762306125e-05,3.956450628327575e-05
boot_30,0.12407517787058997,0.5477567335702817,1.0909216396480872,1.9916170314100083,30000,0.3919176009343093,0.31655975234087497,1.6180670268131292e-05,1.618101936111647e-05,3.2226393745174655e-05
boot_32,0.0975809182310427,0.5127355815019129,1.0243349776332125,1.9977840715339372,30000,0.3203958697116017,0.3045385682955447,1.1799194425469412e-05,1.1799380056375258e-05,2.35726135306017e-05
boot_31,0.12197460494480808,0.585271282476161,1.0941827533193138,1.8695309099910973,30000,0.3710095763094882,0.32873728928185614,1.5775329549136187e-05,1.5775661370812158e-05,2.9493086558285855e-05
boot_36,0.1500902130055908,0.5657153624969411,1.0710056648903152,1.8931882283753718,30000,0.4653926463797587,0.3224759199189576,2.299115542796308e-05,2.299186024053957e-05,4.352791915584126e-05
boot_35,0.15313951103149653,0.5638837535856616,1.157210602085174,2.0522148310296693,30000,0.4757299367342534,0.32187993346831,2.2108160285753382e-05,2.210881199929926e-05,4.537203188140865e-05
boot_33,0.1606729424915079,0.6025290794903025,1.200684751975481,1.9927415835119136,30000,0.48085869113163077,0.33411245382466986,2.3240790886108944e-05,2.324151108757436e-05,4.631432560786263e-05
boot_37,0.09823536617615324,0.49655261603469913,0.8274121787155613,1.6663132002465206,30000,0.3287822231433594,0.2987555095834461,1.4698000143546923e-05,1.469828819080284e-05,2.449195163336232e-05
boot_34,0.12827655430669507,0.5625515239750565,1.0531631148910874,1.872118499385284,30000,0.3990285727922103,0.32144539492326274,1.7733188891585107e-05,1.7733608189483443e-05,3.319941595238233e-05
boot_38,0.13521401801179972,0.5392071557518759,1.0862237834130457,2.014483249760297,30000,0.4310157630009076,0.3136853259071887,1.8801792789263344e-05,1.880226414429589e-05,3.78768461762527e-05
boot_39,0.12144714001617905,0.5707502218859896,1.3220494794578455,2.3163363390192986,30000,0.3746896599632987,0.32410569335603234,1.2934346228267495e-05,1.2934569295197597e-05,2.9960812888029432e-05
boot_40,0.1274316905296816,0.5755429278482959,1.1811517450025404,2.052239177741879,30000,0.39129091561376417,0.3256455802505882,1.5661451583277684e-05,1.5661778631528012e-05,3.214171570074239e-05
boot_43,0.13552143295230215,0.549567752960161,1.0868240564078242,1.977597940479251,30000,0.42725759083900466,0.3171637752485508,1.8860901567588342e-05,1.886137589099382e-05,3.730021811663437e-05
boot_41,0.13962968406599285,0.5593180884231462,1.0986347011422974,1.9642395336071035,30000,0.435781000041129,0.32038705493068015,1.966057163925095e-05,1.9661087036864546e-05,3.861908443149948e-05
boot_44,0.16745834886118177,0.5929457956570321,1.2384381231415253,2.0886194525913373,30000,0.5056588774373957,0.3311446732853439,2.4487338376551687e-05,2.448813790897727e-05,5.114640119442929e-05
boot_42,0.13635136816584387,0.573028146233998,1.3837316568645017,2.4147708379745976,30000,0.41972388482975753,0.32483897708362647,1.497693934383854e-05,1.4977238428093842e-05,3.616659858955351e-05
boot_45,0.09975396899481875,0.5288173246091492,1.0445846133269705,1.9753222232252448,30000,0.3216150131907905,0.3101404601146458,1.2000301019902054e-05,1.2000493032607093e-05,2.37048405769685e-05
boot_46,0.14715426229723216,0.6006480100557778,1.2007016385963323,1.9990104328903575,30000,0.4411651069561912,0.333533240480049,1.9745702252387116e-05,1.9746222123083985e-05,3.9472904034215276e-05
boot_47,0.12644789440575124,0.5333197944437467,1.1173012364770178,2.094993000667385,30000,0.40566195074080147,0.31168368754585063,1.628989062217916e-05,1.6290244443912762e-05,3.4127948089158e-05
boot_48,0.13495617087744846,0.5871943819494267,1.0840027435293553,1.8460713808782951,30000,0.4097400551406062,0.32934313246219277,1.8801245631348837e-05,1.8801716958947288e-05,3.4709311589286676e-05
boot_49,0.13791717817287963,0.5821637086413187,1.3302725001326414,2.285048827995985,30000,0.4207659384876428,0.3277545985142495,1.589501723508544e-05,1.589535411098884e-05,3.632166028189621e-05
boot_50,0.1007413642006314,0.5356270673681129,1.1653688256471977,2.1757093631832665,30000,0.32237927670469657,0.3124703195215634,1.0933257100452656e-05,1.0933416484257203e-05,2.378793661638067e-05
