,recombo (frag-incorp),recombo (template-switch),zero recombo
fit_success,True,True,n/a
function_evals,75,7,n/a
data_points,99,99,99
variables,3,2,1
message,`ftol` termination condition is satisfied.,`ftol` termination condition is satisfied.,n/a
thetaS (init),1e-05,1e-05,n/a
f (init),1000,30000,0
phiS (init),5e-05,5e-05,0
""
recombination,d_s,theta_s,f,phi_s,theta_p,phi_p,c,d_theta_p,d_theta_s,chisq,red-chisq,AIC,akaike_weight,evidence_ratio (model/null)
recombo (vary f),0.09770559479304382,2.0778191297647106e-05,9241.786565379834,9.064632002626195e-05,0.42830526691853965,1.8685118323281538,0.3583466175333374,0.27261946390935754,2.0777615669282992e-05,0.0014510915640726673,1.5115537125756951e-05,-1095.9253462558522,0.8416585499969867
recombo (fixed f),0.09770559479304382,8.014020965357671e-06,30000,2.8310242075637017e-05,0.4224992542127663,1.492516205690471,0.36151144705021226,0.2702555583903795,8.0139353335633e-06,0.0015315311827298077,1.578898126525575e-05,-1092.5841049914575,0.15834145000301314
zero_recombo,0.09770559479304382,0.11234067854917944,nan,nan,nan,nan,nan,nan,0.09770559479304382,0.0034647652430844513,3.5354747378412766e-05,-1013.76279471868,1.212731236002112e-18
