# l: the distance between two genomic positions
# m: the mean value of correlation profile
# v: the variance of correlation profile
# n: the total number of alignments used for calculation
# t: the type of result: Ks is for d_sample, and P2 is for correlation profile
# b: the bootstrap number (all means used all alignments).
l,m,v,n,t,b
0,0.09770559479304382,0,151211259,Ks,all
3,0.2974755053620626,0,144157748,P2,all
6,0.2890447490697556,0,143424331,P2,all
9,0.284900626838984,0,143130330,P2,all
12,0.28191398090857217,0,142901107,P2,all
15,0.2815323247537856,0,142698098,P2,all
18,0.28303607813781295,0,142493683,P2,all
21,0.27668943112711425,0,142442960,P2,all
24,0.27703406149702264,0,142449448,P2,all
27,0.27377499347829337,0,142370682,P2,all
30,0.28267179000310105,0,142308872,P2,all
33,0.27623259661803873,0,142198753,P2,all
36,0.27761085433905347,0,142218994,P2,all
39,0.2708915667647382,0,142104608,P2,all
42,0.2734277559020646,0,142075692,P2,all
45,0.27183796931711207,0,141907122,P2,all
48,0.2703518401236753,0,141830550,P2,all
51,0.2772202203717153,0,141882107,P2,all
54,0.27731542468509607,0,141771173,P2,all
57,0.27343692848649354,0,141679929,P2,all
60,0.27970482505721556,0,141702140,P2,all
63,0.2730696491983836,0,141751975,P2,all
66,0.27193370063250194,0,141675415,P2,all
69,0.27230372227968364,0,141625049,P2,all
72,0.2722619105275959,0,141707735,P2,all
75,0.2836782968616637,0,141504821,P2,all
78,0.2661316075743236,0,141542365,P2,all
81,0.27098331055118885,0,141494529,P2,all
84,0.26861469567849766,0,141463805,P2,all
87,0.2681055177448744,0,141378590,P2,all
90,0.26909875598725863,0,141348008,P2,all
93,0.2736677562134136,0,141166245,P2,all
96,0.2633733977327432,0,141161439,P2,all
99,0.2716954475242592,0,141090962,P2,all
102,0.2704941226705156,0,141144567,P2,all
105,0.27344018995473324,0,141169455,P2,all
108,0.2669831768518722,0,141192988,P2,all
111,0.2740098735255309,0,141134319,P2,all
114,0.27288306767662207,0,141005268,P2,all
117,0.262772855321099,0,140885983,P2,all
120,0.26789845352070457,0,140959081,P2,all
123,0.27054087191645915,0,140964238,P2,all
126,0.268506379278081,0,140867307,P2,all
129,0.26906466892450304,0,140912952,P2,all
132,0.2730820272484443,0,140869929,P2,all
135,0.2732452873081892,0,140789020,P2,all
138,0.26407489581543964,0,140848038,P2,all
141,0.27034786600080574,0,140765153,P2,all
144,0.27057073063972953,0,140772409,P2,all
147,0.2642316971411576,0,140808109,P2,all
150,0.27274238865852163,0,140835282,P2,all
153,0.271377146505391,0,140675798,P2,all
156,0.2765370578126321,0,140577164,P2,all
159,0.27352805766571103,0,140739488,P2,all
162,0.2703189056688079,0,140709621,P2,all
165,0.2666370504452184,0,140605006,P2,all
168,0.2630665681228649,0,140622627,P2,all
171,0.2743457351607869,0,140674056,P2,all
174,0.26990321869565026,0,140448536,P2,all
177,0.2711159764529911,0,140500247,P2,all
180,0.26929949052614693,0,140458825,P2,all
183,0.2723460882543996,0,140422435,P2,all
186,0.273340650408314,0,140341016,P2,all
189,0.27344302362361195,0,140252280,P2,all
192,0.27297158619843115,0,140199125,P2,all
195,0.27101855971168304,0,140227147,P2,all
198,0.264563502207901,0,140155524,P2,all
201,0.2731248601351772,0,140182615,P2,all
204,0.27132490159769984,0,140055167,P2,all
207,0.2724288938196321,0,140073342,P2,all
210,0.27228589533962133,0,140060978,P2,all
213,0.2682556937186983,0,140065681,P2,all
216,0.2762517388685431,0,140032245,P2,all
219,0.2713490557569013,0,139957268,P2,all
222,0.2704977481466761,0,139909983,P2,all
225,0.2716639220317616,0,139903481,P2,all
228,0.2629502343035415,0,139864226,P2,all
231,0.26975640885491753,0,139821091,P2,all
234,0.2676138890018732,0,139888081,P2,all
237,0.25826444214224314,0,139806715,P2,all
240,0.26406011579333066,0,139735463,P2,all
243,0.26771042414861257,0,139703562,P2,all
246,0.2732731137086868,0,139665446,P2,all
249,0.2678991987950503,0,139717440,P2,all
252,0.2706188795769845,0,139609621,P2,all
255,0.26345506962077886,0,139611018,P2,all
258,0.26516334250919227,0,139701640,P2,all
261,0.26099634106387276,0,139541019,P2,all
264,0.2665311141388251,0,139531390,P2,all
267,0.26573104031838246,0,139466391,P2,all
270,0.26959200665217775,0,139479184,P2,all
273,0.2710198908911597,0,139461055,P2,all
276,0.26546854544748455,0,139488518,P2,all
279,0.27167892531813964,0,139488289,P2,all
282,0.26530849884043317,0,139439766,P2,all
285,0.26835474589408953,0,139366569,P2,all
288,0.2763399776175651,0,139395382,P2,all
291,0.2692313523104903,0,139427254,P2,all
294,0.2698512135272355,0,139451973,P2,all
297,0.264224540569953,0,139468155,P2,all
